Date,Time,Device_Name,IP_Address,Latency_ms,Status
2026-05-01,10:01:27,VF+,192.168.0.200,0.23,Up
2026-05-01,10:01:27,Follower Arm Radio,192.168.0.103,0.81,Up
2026-05-01,10:02:27,VF+,192.168.0.200,0.25,Up
2026-05-01,10:02:27,Follower Arm Radio,192.168.0.103,0.51,Up
2026-05-01,10:03:27,VF+,192.168.0.200,0.62,Up
2026-05-01,10:03:27,Follower Arm Radio,192.168.0.103,0.50,Up
2026-05-01,10:04:27,VF+,192.168.0.200,0.23,Up
2026-05-01,10:04:27,Follower Arm Radio,192.168.0.103,0.50,Up
2026-05-01,10:05:27,VF+,192.168.0.200,0.27,Up
2026-05-01,10:05:27,Follower Arm Radio,192.168.0.103,0.70,Up
2026-05-01,10:06:27,VF+,192.168.0.200,0.26,Up
2026-05-01,10:06:27,Follower Arm Radio,192.168.0.103,0.71,Up
2026-05-01,10:07:27,VF+,192.168.0.200,0.25,Up
2026-05-01,10:07:27,Follower Arm Radio,192.168.0.103,0.48,Up
