Date,Time,Device_Name,IP_Address,Latency_ms,Status
2026-05-06,12:08:30,VF+,192.168.0.200,0.23,Up
2026-05-06,12:08:30,Master Radio,192.168.0.102,0.48,Up
2026-05-06,12:08:30,Follower Arm Radio,192.168.0.103,8.54,Up
2026-05-06,12:08:30,IP Camera Radio,192.168.0.101,10.80,Up
2026-05-06,12:08:40,VF+,192.168.0.200,0.32,Up
2026-05-06,12:08:40,Master Radio,192.168.0.102,0.55,Up
2026-05-06,12:08:40,Follower Arm Radio,192.168.0.103,10.40,Up
2026-05-06,12:08:40,IP Camera Radio,192.168.0.101,6.33,Up
2026-05-06,12:08:50,VF+,192.168.0.200,0.22,Up
2026-05-06,12:08:50,Master Radio,192.168.0.102,0.53,Up
2026-05-06,12:08:50,Follower Arm Radio,192.168.0.103,10.20,Up
2026-05-06,12:08:50,IP Camera Radio,192.168.0.101,6.93,Up
2026-05-06,12:09:00,VF+,192.168.0.200,0.23,Up
2026-05-06,12:09:00,Master Radio,192.168.0.102,0.53,Up
2026-05-06,12:09:00,Follower Arm Radio,192.168.0.103,7.28,Up
2026-05-06,12:09:00,IP Camera Radio,192.168.0.101,7.36,Up
2026-05-06,12:09:10,VF+,192.168.0.200,0.26,Up
2026-05-06,12:09:10,Master Radio,192.168.0.102,0.72,Up
2026-05-06,12:09:10,Follower Arm Radio,192.168.0.103,5.43,Up
2026-05-06,12:09:10,IP Camera Radio,192.168.0.101,15.00,Up
2026-05-06,12:09:20,VF+,192.168.0.200,0.21,Up
2026-05-06,12:09:20,Master Radio,192.168.0.102,0.49,Up
2026-05-06,12:09:20,Follower Arm Radio,192.168.0.103,8.46,Up
2026-05-06,12:09:20,IP Camera Radio,192.168.0.101,8.16,Up
2026-05-06,12:09:30,VF+,192.168.0.200,0.20,Up
2026-05-06,12:09:30,Master Radio,192.168.0.102,0.67,Up
2026-05-06,12:09:30,Follower Arm Radio,192.168.0.103,10.40,Up
2026-05-06,12:09:30,IP Camera Radio,192.168.0.101,5.61,Up
2026-05-06,12:09:40,VF+,192.168.0.200,0.17,Up
2026-05-06,12:09:40,Master Radio,192.168.0.102,0.49,Up
2026-05-06,12:09:40,Follower Arm Radio,192.168.0.103,8.51,Up
2026-05-06,12:09:40,IP Camera Radio,192.168.0.101,14.10,Up
2026-05-06,12:09:50,VF+,192.168.0.200,0.36,Up
2026-05-06,12:09:50,Master Radio,192.168.0.102,0.56,Up
2026-05-06,12:09:50,Follower Arm Radio,192.168.0.103,7.92,Up
2026-05-06,12:09:50,IP Camera Radio,192.168.0.101,7.93,Up
2026-05-06,12:10:01,VF+,192.168.0.200,0.21,Up
2026-05-06,12:10:01,Master Radio,192.168.0.102,0.51,Up
2026-05-06,12:10:01,Follower Arm Radio,192.168.0.103,8.92,Up
2026-05-06,12:10:01,IP Camera Radio,192.168.0.101,6.78,Up
2026-05-06,12:10:11,VF+,192.168.0.200,0.20,Up
2026-05-06,12:10:11,Master Radio,192.168.0.102,0.53,Up
2026-05-06,12:10:11,Follower Arm Radio,192.168.0.103,6.97,Up
2026-05-06,12:10:11,IP Camera Radio,192.168.0.101,7.49,Up
2026-05-06,12:10:21,VF+,192.168.0.200,0.27,Up
2026-05-06,12:10:21,Master Radio,192.168.0.102,0.50,Up
2026-05-06,12:10:21,Follower Arm Radio,192.168.0.103,8.96,Up
2026-05-06,12:10:21,IP Camera Radio,192.168.0.101,11.90,Up
2026-05-06,12:10:31,VF+,192.168.0.200,0.21,Up
2026-05-06,12:10:31,Master Radio,192.168.0.102,0.68,Up
2026-05-06,12:10:31,Follower Arm Radio,192.168.0.103,11.80,Up
2026-05-06,12:10:31,IP Camera Radio,192.168.0.101,8.26,Up
2026-05-06,12:10:41,VF+,192.168.0.200,0.20,Up
2026-05-06,12:10:41,Master Radio,192.168.0.102,0.55,Up
2026-05-06,12:10:41,Follower Arm Radio,192.168.0.103,5.29,Up
2026-05-06,12:10:41,IP Camera Radio,192.168.0.101,6.02,Up
2026-05-06,12:10:51,VF+,192.168.0.200,0.24,Up
2026-05-06,12:10:51,Master Radio,192.168.0.102,0.52,Up
2026-05-06,12:10:51,Follower Arm Radio,192.168.0.103,8.28,Up
2026-05-06,12:10:51,IP Camera Radio,192.168.0.101,8.23,Up
2026-05-06,12:11:01,VF+,192.168.0.200,0.19,Up
2026-05-06,12:11:01,Master Radio,192.168.0.102,0.52,Up
2026-05-06,12:11:01,Follower Arm Radio,192.168.0.103,6.59,Up
2026-05-06,12:11:01,IP Camera Radio,192.168.0.101,14.40,Up
2026-05-06,12:11:11,VF+,192.168.0.200,0.16,Up
2026-05-06,12:11:11,Master Radio,192.168.0.102,0.51,Up
2026-05-06,12:11:11,Follower Arm Radio,192.168.0.103,12.80,Up
2026-05-06,12:11:11,IP Camera Radio,192.168.0.101,8.86,Up
2026-05-06,12:11:21,VF+,192.168.0.200,0.28,Up
2026-05-06,12:11:21,Master Radio,192.168.0.102,0.51,Up
2026-05-06,12:11:21,Follower Arm Radio,192.168.0.103,6.25,Up
2026-05-06,12:11:21,IP Camera Radio,192.168.0.101,6.72,Up
2026-05-06,12:11:31,VF+,192.168.0.200,0.22,Up
2026-05-06,12:11:31,Master Radio,192.168.0.102,0.72,Up
2026-05-06,12:11:31,Follower Arm Radio,192.168.0.103,6.02,Up
2026-05-06,12:11:31,IP Camera Radio,192.168.0.101,7.11,Up
2026-05-06,12:11:41,VF+,192.168.0.200,0.36,Up
2026-05-06,12:11:41,Master Radio,192.168.0.102,0.53,Up
2026-05-06,12:11:41,Follower Arm Radio,192.168.0.103,7.45,Up
2026-05-06,12:11:41,IP Camera Radio,192.168.0.101,14.20,Up
2026-05-06,12:11:51,VF+,192.168.0.200,0.22,Up
2026-05-06,12:11:51,Master Radio,192.168.0.102,0.76,Up
2026-05-06,12:11:51,Follower Arm Radio,192.168.0.103,12.60,Up
2026-05-06,12:11:51,IP Camera Radio,192.168.0.101,8.14,Up
2026-05-06,12:12:01,VF+,192.168.0.200,0.24,Up
2026-05-06,12:12:01,Master Radio,192.168.0.102,0.71,Up
2026-05-06,12:12:01,Follower Arm Radio,192.168.0.103,31.10,Up
2026-05-06,12:12:01,IP Camera Radio,192.168.0.101,TIMEOUT,Down
2026-05-06,12:12:12,VF+,192.168.0.200,0.20,Up
2026-05-06,12:12:12,Master Radio,192.168.0.102,0.76,Up
2026-05-06,12:12:12,Follower Arm Radio,192.168.0.103,17.40,Up
2026-05-06,12:12:12,IP Camera Radio,192.168.0.101,TIMEOUT,Down
